curbweight,carlength,carwidth,enginesize,highwaympg
2548,168.8,64.1,130,27
2548,168.8,64.1,130,27
2823,171.2,65.5,152,26
2337,176.6,66.2,109,30
2824,176.6,66.4,136,22
2507,177.3,66.3,136,25
2844,192.7,71.4,136,25
2954,192.7,71.4,136,25
3086,192.7,71.4,131,20
3053,178.2,67.9,131,22
2395,176.8,64.8,108,29
2395,176.8,64.8,108,29
2710,176.8,64.8,164,28
2765,176.8,64.8,164,28
3055,189.0,66.9,164,25
3230,189.0,66.9,209,22
3380,193.8,67.9,209,22
3505,197.0,70.9,209,20
1488,141.1,60.3,61,53
1874,155.9,63.6,90,43
1909,158.8,63.6,90,43
1876,157.3,63.8,90,41
1876,157.3,63.8,90,38
2128,157.3,63.8,98,30
1967,157.3,63.8,90,38
1989,157.3,63.8,90,38
1989,157.3,63.8,90,38
2191,157.3,63.8,98,30
2535,174.6,64.6,122,30
2811,173.2,66.3,156,24
1713,144.6,63.9,92,54
1819,144.6,63.9,92,38
1837,150.0,64.0,79,42
1940,150.0,64.0,92,34
1956,150.0,64.0,92,34
2010,163.4,64.0,92,34
2024,157.1,63.9,92,34
2236,167.5,65.2,110,33
2289,167.5,65.2,110,33
2304,175.4,65.2,110,33
2372,175.4,62.5,110,33
2465,175.4,65.2,110,28
2293,169.1,66.0,110,31
2337,170.7,61.8,111,29
1874,155.9,63.6,90,43
1909,155.9,63.6,90,43
2734,172.6,65.2,119,29
4066,199.6,69.6,258,19
4066,199.6,69.6,258,19
3950,191.7,70.6,326,17
1890,159.1,64.2,91,31
1900,159.1,64.2,91,38
1905,159.1,64.2,91,38
1945,166.8,64.2,91,38
1950,166.8,64.2,91,38
2380,169.0,65.7,70,23
2380,169.0,65.7,70,23
2385,169.0,65.7,70,23
2500,169.0,65.7,80,23
2385,177.8,66.5,122,32
2410,177.8,66.5,122,32
2385,177.8,66.5,122,32
2410,177.8,66.5,122,32
2443,177.8,66.5,122,42
2425,177.8,66.5,122,32
2670,175.0,66.1,140,27
2700,175.0,66.1,134,39
3515,190.9,70.3,183,25
3750,190.9,70.3,183,25
3495,187.5,70.3,183,25
3770,202.6,71.7,183,25
3740,202.6,71.7,234,18
3685,180.3,70.5,234,18
3900,208.1,71.7,308,16
3715,199.2,72.0,304,16
2910,178.4,68.0,140,24
1918,157.3,64.4,92,41
1944,157.3,64.4,92,38
2004,157.3,64.4,92,38
2145,157.3,63.8,98,30
2370,173.0,65.4,110,30
2328,173.0,65.4,122,32
2833,173.2,66.3,156,24
2921,173.2,66.3,156,24
2926,173.2,66.3,156,24
2365,172.4,65.4,122,32
2405,172.4,65.4,122,32
2403,172.4,65.4,110,30
2403,172.4,65.4,110,30
1889,165.3,63.8,97,37
2017,165.3,63.8,103,50
1918,165.3,63.8,97,37
1938,165.3,63.8,97,37
2024,170.2,63.8,97,37
1951,165.3,63.8,97,37
2028,165.6,63.8,97,37
1971,165.3,63.8,97,37
2037,170.2,63.8,97,37
2008,162.4,63.8,97,37
2324,173.4,65.2,120,34
2302,173.4,65.2,120,34
3095,181.7,66.5,181,22
3296,184.6,66.5,181,22
3060,184.6,66.5,181,25
3071,170.7,67.9,181,25
3139,170.7,67.9,181,23
3139,178.5,67.9,181,25
3020,186.7,68.4,120,24
3197,186.7,68.4,152,33
3230,198.9,68.4,120,24
3430,198.9,68.4,152,25
3075,186.7,68.4,120,24
3252,186.7,68.4,152,33
3285,198.9,68.4,120,24
3485,198.9,68.4,152,25
3075,186.7,68.4,120,24
3252,186.7,68.4,152,33
3130,186.7,68.3,134,24
1918,157.3,63.8,90,41
2128,157.3,63.8,98,30
1967,157.3,63.8,90,38
1989,167.3,63.8,90,38
2191,167.3,63.8,98,38
2535,174.6,64.6,122,30
2818,173.2,66.3,156,24
2778,168.9,68.3,151,27
2756,168.9,65.0,194,25
2756,168.9,65.0,194,25
2800,168.9,65.0,194,25
3366,175.7,72.3,203,28
2579,181.5,66.5,132,31
2460,176.8,66.6,132,31
2658,186.6,66.5,121,28
2695,186.6,66.5,121,28
2707,186.6,66.5,121,28
2758,186.6,66.5,121,28
2808,186.6,66.5,121,26
2847,186.6,66.5,121,26
2050,156.9,63.4,97,36
2120,157.9,63.6,108,31
2240,157.3,63.8,108,31
2145,172.0,65.4,108,37
2190,172.0,65.4,108,33
2340,172.0,65.4,108,32
2385,172.0,65.4,108,25
2510,172.0,65.4,108,29
2290,173.5,65.4,108,32
2455,173.5,65.4,108,31
2420,173.6,65.4,108,29
2650,173.6,65.4,108,23
1985,158.7,63.6,92,39
2040,158.7,63.6,92,38
2015,158.7,63.6,92,38
2280,169.7,63.6,92,37
2290,169.7,63.6,92,32
3110,169.7,63.6,92,32
2081,166.3,64.4,98,37
2109,166.3,64.4,98,37
2275,166.3,64.4,110,36
2275,166.3,64.4,110,47
2094,166.3,64.4,98,47
2122,166.3,64.4,98,34
2140,166.3,64.4,98,34
2169,168.7,64.0,98,34
2204,168.7,64.0,98,34
2265,168.7,64.0,98,29
2300,168.7,64.0,98,29
2540,176.2,65.6,146,30
2536,176.2,65.6,146,30
2551,176.2,65.6,146,30
2679,176.2,65.6,146,30
2714,176.2,65.6,146,30
2975,176.2,65.6,146,30
2326,175.6,66.5,122,34
2480,175.6,66.5,110,33
2414,175.6,66.5,122,32
2414,175.6,66.5,122,32
2458,175.6,66.5,122,32
2976,183.5,67.7,171,24
3016,183.5,67.7,171,24
3131,187.8,66.5,171,24
3151,187.8,66.5,161,24
2261,171.7,65.5,97,46
2209,171.7,65.5,109,34
2264,171.7,65.5,97,46
2212,171.7,65.5,109,34
2275,171.7,65.5,109,34
2319,171.7,65.5,97,42
2300,171.7,65.5,109,32
2254,159.3,64.2,109,29
2221,165.7,64.0,109,29
2661,180.2,66.9,136,24
2579,180.2,66.9,97,38
2563,183.1,66.9,109,31
2912,188.8,67.2,141,28
3034,188.8,67.2,141,28
2935,188.8,67.2,141,28
3042,188.8,67.2,141,28
3045,188.8,67.2,130,22
3157,188.8,67.2,130,22
2952,188.8,68.9,141,28
3049,188.8,68.8,141,25
3012,188.8,68.9,173,23
3217,188.8,68.9,145,27
3062,188.8,68.9,141,25
