curbweight,carlength,carwidth,enginesize,highwaympg,drivewheel,carbody
2548,168.8,64.1,130,27,rwd,convertible
2548,168.8,64.1,130,27,rwd,convertible
2823,171.2,65.5,152,26,rwd,hatchback
2337,176.6,66.2,109,30,fwd,sedan
2824,176.6,66.4,136,22,4wd,sedan
2507,177.3,66.3,136,25,fwd,sedan
2844,192.7,71.4,136,25,fwd,sedan
2954,192.7,71.4,136,25,fwd,wagon
3086,192.7,71.4,131,20,fwd,sedan
3053,178.2,67.9,131,22,4wd,hatchback
2395,176.8,64.8,108,29,rwd,sedan
2395,176.8,64.8,108,29,rwd,sedan
2710,176.8,64.8,164,28,rwd,sedan
2765,176.8,64.8,164,28,rwd,sedan
3055,189.0,66.9,164,25,rwd,sedan
3230,189.0,66.9,209,22,rwd,sedan
3380,193.8,67.9,209,22,rwd,sedan
3505,197.0,70.9,209,20,rwd,sedan
1488,141.1,60.3,61,53,fwd,hatchback
1874,155.9,63.6,90,43,fwd,hatchback
1909,158.8,63.6,90,43,fwd,sedan
1876,157.3,63.8,90,41,fwd,hatchback
1876,157.3,63.8,90,38,fwd,hatchback
2128,157.3,63.8,98,30,fwd,hatchback
1967,157.3,63.8,90,38,fwd,hatchback
1989,157.3,63.8,90,38,fwd,sedan
1989,157.3,63.8,90,38,fwd,sedan
2191,157.3,63.8,98,30,fwd,sedan
2535,174.6,64.6,122,30,fwd,wagon
2811,173.2,66.3,156,24,fwd,hatchback
1713,144.6,63.9,92,54,fwd,hatchback
1819,144.6,63.9,92,38,fwd,hatchback
1837,150.0,64.0,79,42,fwd,hatchback
1940,150.0,64.0,92,34,fwd,hatchback
1956,150.0,64.0,92,34,fwd,hatchback
2010,163.4,64.0,92,34,fwd,sedan
2024,157.1,63.9,92,34,fwd,wagon
2236,167.5,65.2,110,33,fwd,hatchback
2289,167.5,65.2,110,33,fwd,hatchback
2304,175.4,65.2,110,33,fwd,sedan
2372,175.4,62.5,110,33,fwd,sedan
2465,175.4,65.2,110,28,fwd,sedan
2293,169.1,66.0,110,31,fwd,sedan
2337,170.7,61.8,111,29,rwd,sedan
1874,155.9,63.6,90,43,fwd,sedan
1909,155.9,63.6,90,43,fwd,sedan
2734,172.6,65.2,119,29,rwd,hatchback
4066,199.6,69.6,258,19,rwd,sedan
4066,199.6,69.6,258,19,rwd,sedan
3950,191.7,70.6,326,17,rwd,sedan
1890,159.1,64.2,91,31,fwd,hatchback
1900,159.1,64.2,91,38,fwd,hatchback
1905,159.1,64.2,91,38,fwd,hatchback
1945,166.8,64.2,91,38,fwd,sedan
