wheelbase,carlength,carwidth,carheight,curbweight,enginesize,horsepower,highwaympg,car_ID,cluster
88.6,168.8,64.1,48.8,2548,130,111,27,1,1
88.6,168.8,64.1,48.8,2548,130,111,27,2,1
94.5,171.2,65.5,52.4,2823,152,154,26,3,1
99.8,176.6,66.2,54.3,2337,109,102,30,4,3
99.4,176.6,66.4,54.3,2824,136,115,22,5,1
99.8,177.3,66.3,53.1,2507,136,110,25,6,1
105.8,192.7,71.4,55.7,2844,136,110,25,7,2
105.8,192.7,71.4,55.7,2954,136,110,25,8,2
105.8,192.7,71.4,55.9,3086,131,140,20,9,2
99.5,178.2,67.9,52.0,3053,131,160,22,10,1
101.2,176.8,64.8,54.3,2395,108,101,29,11,3
101.2,176.8,64.8,54.3,2395,108,101,29,12,3
101.2,176.8,64.8,54.3,2710,164,121,28,13,3
101.2,176.8,64.8,54.3,2765,164,121,28,14,3
103.5,189.0,66.9,55.7,3055,164,121,25,15,2
103.5,189.0,66.9,55.7,3230,209,182,22,16,2
103.5,193.8,67.9,53.7,3380,209,182,22,17,2
110.0,197.0,70.9,56.3,3505,209,182,20,18,2
88.4,141.1,60.3,53.2,1488,61,48,53,19,0
94.5,155.9,63.6,52.0,1874,90,70,43,20,0
94.5,158.8,63.6,52.0,1909,90,70,43,21,0
93.7,157.3,63.8,50.8,1876,90,68,41,22,0
93.7,157.3,63.8,50.8,1876,90,68,38,23,0
93.7,157.3,63.8,50.8,2128,98,102,30,24,0
93.7,157.3,63.8,50.6,1967,90,68,38,25,0
93.7,157.3,63.8,50.6,1989,90,68,38,26,0
93.7,157.3,63.8,50.6,1989,90,68,38,27,0
93.7,157.3,63.8,50.6,2191,98,102,30,28,0
103.3,174.6,64.6,59.8,2535,122,88,30,29,3
95.9,173.2,66.3,50.2,2811,156,145,24,30,1
86.6,144.6,63.9,50.8,1713,92,58,54,31,0
86.6,144.6,63.9,50.8,1819,92,76,38,32,0
93.7,150.0,64.0,52.6,1837,79,60,42,33,0
93.7,150.0,64.0,52.6,1940,92,76,34,34,0
93.7,150.0,64.0,52.6,1956,92,76,34,35,0
96.5,163.4,64.0,54.5,2010,92,76,34,36,0
96.5,157.1,63.9,58.3,2024,92,76,34,37,3
96.5,167.5,65.2,53.3,2236,110,86,33,38,3
96.5,167.5,65.2,53.3,2289,110,86,33,39,3
96.5,175.4,65.2,54.1,2304,110,86,33,40,3
96.5,175.4,62.5,54.1,2372,110,86,33,41,3
96.5,175.4,65.2,54.1,2465,110,101,28,42,3
96.5,169.1,66.0,51.0,2293,110,100,31,43,1
94.3,170.7,61.8,53.5,2337,111,78,29,44,0
94.5,155.9,63.6,52.0,1874,90,70,43,45,0
94.5,155.9,63.6,52.0,1909,90,70,43,46,0
96.0,172.6,65.2,51.4,2734,119,90,29,47,1
113.0,199.6,69.6,52.8,4066,258,176,19,48,2
113.0,199.6,69.6,52.8,4066,258,176,19,49,2
102.0,191.7,70.6,47.8,3950,326,262,17,50,2
93.1,159.1,64.2,54.1,1890,91,68,31,51,0
93.1,159.1,64.2,54.1,1900,91,68,38,52,0
93.1,159.1,64.2,54.1,1905,91,68,38,53,0
93.1,166.8,64.2,54.1,1945,91,68,38,54,0
93.1,166.8,64.2,54.1,1950,91,68,38,55,0
95.3,169.0,65.7,49.6,2380,70,101,23,56,1
95.3,169.0,65.7,49.6,2380,70,101,23,57,1
95.3,169.0,65.7,49.6,2385,70,101,23,58,1
95.3,169.0,65.7,49.6,2500,80,135,23,59,1
98.8,177.8,66.5,53.7,2385,122,84,32,60,3
98.8,177.8,66.5,55.5,2410,122,84,32,61,3
98.8,177.8,66.5,53.7,2385,122,84,32,62,3
98.8,177.8,66.5,55.5,2410,122,84,32,63,3
98.8,177.8,66.5,55.5,2443,122,64,42,64,3
98.8,177.8,66.5,55.5,2425,122,84,32,65,3
104.9,175.0,66.1,54.4,2670,140,120,27,66,3
104.9,175.0,66.1,54.4,2700,134,72,39,67,3
110.0,190.9,70.3,56.5,3515,183,123,25,68,2
110.0,190.9,70.3,58.7,3750,183,123,25,69,2
106.7,187.5,70.3,54.9,3495,183,123,25,70,2
115.6,202.6,71.7,56.3,3770,183,123,25,71,2
115.6,202.6,71.7,56.5,3740,234,155,18,72,2
96.6,180.3,70.5,50.8,3685,234,155,18,73,2
120.9,208.1,71.7,56.7,3900,308,184,16,74,2
112.0,199.2,72.0,55.4,3715,304,184,16,75,2
102.7,178.4,68.0,54.8,2910,140,175,24,76,2
93.7,157.3,64.4,50.8,1918,92,68,41,77,0
93.7,157.3,64.4,50.8,1944,92,68,38,78,0
93.7,157.3,64.4,50.8,2004,92,68,38,79,0
93.0,157.3,63.8,50.8,2145,98,102,30,80,0
96.3,173.0,65.4,49.4,2370,110,116,30,81,1
96.3,173.0,65.4,49.4,2328,122,88,32,82,1
95.9,173.2,66.3,50.2,2833,156,145,24,83,1
95.9,173.2,66.3,50.2,2921,156,145,24,84,1
95.9,173.2,66.3,50.2,2926,156,145,24,85,1
96.3,172.4,65.4,51.6,2365,122,88,32,86,3
96.3,172.4,65.4,51.6,2405,122,88,32,87,3
96.3,172.4,65.4,51.6,2403,110,116,30,88,1
96.3,172.4,65.4,51.6,2403,110,116,30,89,1
94.5,165.3,63.8,54.5,1889,97,69,37,90,0
94.5,165.3,63.8,54.5,2017,103,55,50,91,0
94.5,165.3,63.8,54.5,1918,97,69,37,92,0
94.5,165.3,63.8,54.5,1938,97,69,37,93,0
94.5,170.2,63.8,53.5,2024,97,69,37,94,0
94.5,165.3,63.8,54.5,1951,97,69,37,95,0
94.5,165.6,63.8,53.3,2028,97,69,37,96,0
94.5,165.3,63.8,54.5,1971,97,69,37,97,0
94.5,170.2,63.8,53.5,2037,97,69,37,98,0
95.1,162.4,63.8,53.3,2008,97,69,37,99,0
97.2,173.4,65.2,54.7,2324,120,97,34,100,3
97.2,173.4,65.2,54.7,2302,120,97,34,101,3
100.4,181.7,66.5,55.1,3095,181,152,22,102,2
100.4,184.6,66.5,56.1,3296,181,152,22,103,2
100.4,184.6,66.5,55.1,3060,181,152,25,104,2
91.3,170.7,67.9,49.7,3071,181,160,25,105,1
91.3,170.7,67.9,49.7,3139,181,200,23,106,1
99.2,178.5,67.9,49.7,3139,181,160,25,107,1
107.9,186.7,68.4,56.7,3020,120,97,24,108,2
107.9,186.7,68.4,56.7,3197,152,95,33,109,2
114.2,198.9,68.4,58.7,3230,120,97,24,110,2
114.2,198.9,68.4,58.7,3430,152,95,25,111,2
107.9,186.7,68.4,56.7,3075,120,95,24,112,2
107.9,186.7,68.4,56.7,3252,152,95,33,113,2
114.2,198.9,68.4,56.7,3285,120,95,24,114,2
114.2,198.9,68.4,58.7,3485,152,95,25,115,2
