curbweight,carlength,wheelbase,carwidth,price,enginesize,horsepower,citympg,carbody,drivewheel
2548,168.8,88.6,64.1,13495.0,130,111,21,convertible,rwd
2548,168.8,88.6,64.1,16500.0,130,111,21,convertible,rwd
2823,171.2,94.5,65.5,16500.0,152,154,19,hatchback,rwd
2337,176.6,99.8,66.2,13950.0,109,102,24,sedan,fwd
2824,176.6,99.4,66.4,17450.0,136,115,18,sedan,4wd
2507,177.3,99.8,66.3,15250.0,136,110,19,sedan,fwd
2844,192.7,105.8,71.4,17710.0,136,110,19,sedan,fwd
2954,192.7,105.8,71.4,18920.0,136,110,19,wagon,fwd
3086,192.7,105.8,71.4,23875.0,131,140,17,sedan,fwd
3053,178.2,99.5,67.9,17859.167,131,160,16,hatchback,4wd
2395,176.8,101.2,64.8,16430.0,108,101,23,sedan,rwd
2395,176.8,101.2,64.8,16925.0,108,101,23,sedan,rwd
2710,176.8,101.2,64.8,20970.0,164,121,21,sedan,rwd
2765,176.8,101.2,64.8,21105.0,164,121,21,sedan,rwd
3055,189.0,103.5,66.9,24565.0,164,121,20,sedan,rwd
3230,189.0,103.5,66.9,30760.0,209,182,16,sedan,rwd
3380,193.8,103.5,67.9,41315.0,209,182,16,sedan,rwd
3505,197.0,110.0,70.9,36880.0,209,182,15,sedan,rwd
1488,141.1,88.4,60.3,5151.0,61,48,47,hatchback,fwd
1874,155.9,94.5,63.6,6295.0,90,70,38,hatchback,fwd
1909,158.8,94.5,63.6,6575.0,90,70,38,sedan,fwd
1876,157.3,93.7,63.8,5572.0,90,68,37,hatchback,fwd
1876,157.3,93.7,63.8,6377.0,90,68,31,hatchback,fwd
2128,157.3,93.7,63.8,7957.0,98,102,24,hatchback,fwd
1967,157.3,93.7,63.8,6229.0,90,68,31,hatchback,fwd
1989,157.3,93.7,63.8,6692.0,90,68,31,sedan,fwd
1989,157.3,93.7,63.8,7609.0,90,68,31,sedan,fwd
2191,157.3,93.7,63.8,8558.0,98,102,24,sedan,fwd
2535,174.6,103.3,64.6,8921.0,122,88,24,wagon,fwd
2811,173.2,95.9,66.3,12964.0,156,145,19,hatchback,fwd
1713,144.6,86.6,63.9,6479.0,92,58,49,hatchback,fwd
